query_id,category,query,status_code,success,latency_ms,section_reference_present,lawyer_disclaimer_present,keyword_score,response,error
Q1,Criminal,Someone cheated me in an online payment scam. Which section can I file under?,200,1,8923.85,1,1,0.75,"I'm really sorry to hear that you've been a victim of an online payment scam. It's a distressing situation, but there are legal avenues you can pursue.<br><br>For online payment scams, you can generally file a complaint under sections related to cheating and cyber fraud. The main sections applicable are:<br><br>1.  **Indian Penal Code (IPC):**<br>    *   **Section 420 IPC:** This section deals with 'Cheating and dishonestly inducing delivery of property'. Since money (property) was induced from you through dishonest means, this is a primary section for such crimes.<br><br>2.  **Information Technology Act, 2000 (IT Act):**<br>    *   **Section 66D IT Act:** This specifically covers 'Punishment for cheating by personation by using computer resource'. Given that the scam happened online and involved a computer resource (internet/device), this section is highly relevant.<br><br>**How to Report:**<br><br>The first step is to report the incident to the police.<br><br>*   You can do this through the **National Cybercrime Reporting Portal**: [www.cybercrime.gov.in](http://www.cybercrime.gov.in). This is usually the fastest way to report online financial fraud.<br>*   Alternatively, you can visit your nearest police station and file a First Information Report (FIR).<br><br>**Important Steps to Take Immediately:**<br><br>1.  **Gather Evidence:** Collect all possible evidence like transaction IDs, screenshots of communication (messages, emails), bank statements, URLs, contact details of the scammer, etc.<br>2.  **Contact Your Bank:** Immediately inform your bank or the payment service provider (e.g., UPI provider, wallet company) to report the fraudulent transaction. They might be able to help block or reverse the payment if reported quickly.<br>3.  **Act Quickly:** Timely reporting increases the chances of recovery or swift action by law enforcement.<br><br>Remember, it is always advisable to consult a qualified advocate for your specific situation. They can guide you through the process, help you with drafting the complaint, and advise you on the most appropriate legal action.<br><br>I hope this helps you take the necessary steps!",
Q2,Criminal,My bike was stolen. What IPC section applies and how to file FIR?,200,1,4793.0,1,1,0.8,"Hello there! I'm sorry to hear about your bike being stolen. That can be a very distressing experience. Here's what you need to know about the legal aspects and how to file an FIR:<br><br>### Applicable IPC Section<br><br>The act of stealing a bike falls under the offence of **Theft**.<br><br>*   **Section 378 of the Indian Penal Code, 1860 (IPC)** defines theft as dishonestly taking any movable property out of the possession of any person without that person's consent.<br>*   The punishment for theft is prescribed under **Section 379 of the IPC**, which can include imprisonment and/or a fine.<br><br>### How to File an FIR (First Information Report)<br><br>An FIR is the first step the police take to investigate a crime. Here's how you can file it:<br><br>1.  **Go to the Nearest Police Station:** As soon as possible, go to the police station that has jurisdiction over the area where your bike was stolen.<br>2.  **Lodge a Complaint:** You can state your complaint orally or in writing.<br>    *   If you tell it orally, the police officer on duty will write it down. Make sure to review it carefully before signing.<br>    *   If you write it yourself, ensure it's clear and contains all necessary details.<br>3.  **Provide Essential Details:**<br>    *   **Date, Time, and Location:** When and where exactly the theft occurred.<br>    *   **Bike Details:** Make, model, colour, registration number, chassis number, engine number, and any unique identification marks.<br>    *   **Circumstances:** Briefly describe how and when you discovered the theft.<br>    *   **Any Witnesses:** If anyone saw anything, provide their details.<br>4.  **Registration of FIR:** The police officer will record your statement and register an FIR under **Section 154 of the Code of Criminal Procedure, 1973 (CrPC)**.<br>5.  **Get a Copy:** It is your legal right to receive a free copy of the FIR immediately after it's registered. Ensure you get it, as it's vital for insurance claims and future follow-ups.<br><br>Remember, acting quickly can sometimes help the police in their investigation.<br><br>**Important Note:** It's always best to consult with a qualified advocate for personalized advice regarding your specific situation, especially if you face any issues while filing the FIR or need assistance with follow-up procedures.",
Q3,Criminal,I was physically assaulted by my neighbor. Which legal section is relevant?,200,1,7010.74,1,1,0.8,"I'm sorry to hear that you were physically assaulted by your neighbor. That must be very distressing.<br><br>For a physical assault under Indian law, the relevant sections are primarily found in the **Indian Penal Code (IPC)**:<br><br>1.  **Section 323 IPC:** This deals with **""Voluntarily causing hurt.""** This is usually applicable when someone causes bodily pain, disease, or infirmity to another person without causing grievous injury. It's a common section used for general physical assaults.<br>2.  **Section 352 IPC:** This deals with **""Punishment for assault or criminal force otherwise than on grave and sudden provocation.""** This applies when someone uses criminal force (physical contact without consent) or makes a gesture that makes another person apprehend such force, even if no actual injury is caused.<br>3.  **Section 325 IPC:** If the injuries caused are severe (like a fracture, permanent disfigurement, etc., as defined under ""grievous hurt"" in Section 320 IPC), then **""Voluntarily causing grievous hurt""** would be applicable.<br><br>The specific section applied will depend on the nature of the act, the intent, and the extent of the injuries sustained.<br><br>**What you can do:** You can file a First Information Report (FIR) with the police under the relevant sections of the IPC.<br><br>**Important Note:** This information is for general guidance. For your specific situation, it is crucial to **consult a qualified advocate**. They can assess your case, advise you on the most appropriate legal course of action, and guide you through the process.",
Q4,Consumer,E-commerce app delivered defective product and denied refund. How can I file a consumer case?,200,1,10632.34,1,1,1.0,"Hello there! I understand how frustrating it can be when an e-commerce app delivers a defective product and then denies a refund. As a consumer in India, you have clear rights under the law.<br><br>Here's a step-by-step guide on how you can file a consumer case:<br><br>1.  **Gather All Evidence:**<br>    *   **Purchase Invoice/Bill:** Proof of purchase.<br>    *   **Delivery Receipt:** Confirmation of delivery date.<br>    *   **Photos/Videos:** Clear evidence of the defect in the product.<br>    *   **Communication Records:** All emails, chat transcripts, or call recordings with the e-commerce app/seller regarding the defect and their denial of a refund. This is crucial.<br><br>2.  **Send a Formal Notice (Optional but Recommended):**<br>    *   Before directly filing a complaint, send a formal written notice (it can be a legal notice through an advocate, or a well-drafted letter yourself) to the e-commerce app and the seller. Clearly state the defect, your demand for a full refund or replacement, and a reasonable deadline (e.g., 15 days) for them to resolve the issue. This often encourages them to act.<br><br>3.  **Identify the Correct Consumer Commission:**<br>    *   Under the **Consumer Protection Act, 2019**, you can file a complaint with the appropriate Consumer Disputes Redressal Commission based on the value of the goods/services and compensation sought:<br>        *   **District Consumer Disputes Redressal Commission (DCDRC):** For claims up to ₹50 Lakhs.<br>        *   **State Consumer Disputes Redressal Commission (SCDRC):** For claims from ₹50 Lakhs to ₹2 Crores.<br>        *   **National Consumer Disputes Redressal Commission (NCDRC):** For claims above ₹2 Crores.<br>    *   Most cases like yours would fall under the District Commission.<br><br>4.  **Draft Your Complaint:**<br>    *   Your complaint should be clearly written and include:<br>        *   Your name, address, and contact details (the Complainant).<br>        *   The name and address of the e-commerce app and the seller (the Opposite Parties).<br>        *   A detailed account of the facts: What product was purchased, when, what the defect is, when it was reported, and how the refund was denied.<br>        *   List all the evidence you are attaching.<br>        *   The specific relief you are seeking (e.g., full refund, product replacement, compensation for mental agony, litigation costs).<br><br>5.  **File the Complaint:**<br>    *   You can file the complaint physically at the relevant Consumer Commission or online through the **e-Daakhil portal** (edaakhil.nic.in).<br>    *   Attach photocopies of all your evidence.<br>    *   There is a nominal filing fee, which varies based on the value of the claim.<br><br>6.  **Attend Hearings:**<br>    *   Once filed, the Commission will issue a notice to the e-commerce app/seller.<br>    *   You may need to attend hearings or submit further documents as directed by the Commission. You can represent yourself or have an advocate represent you.<br><br>**Important Advice:**<br>While this information provides a general overview, dealing with legal procedures can be complex. For your specific situation, it is always best to **consult a qualified advocate**. They can review your documents, help draft a strong complaint, and guide you through the entire legal process effectively.",
Q5,Cyber,I am getting threats on WhatsApp. What legal provisions can I use?,200,1,12947.47,1,1,0.8,"Hello! I understand you're going through a tough time. Receiving threats, especially online, can be very distressing. It's important to take this seriously.<br><br>Here’s what you can do and the legal provisions that might apply:<br><br>### Immediate Steps to Take:<br><br>1.  **Preserve Evidence:** Do not delete any messages. Take screenshots of all the threatening WhatsApp messages, including the sender's number, date, and time. If there are call logs, preserve those too.<br>2.  **Block the Sender:** Block the number on WhatsApp to prevent further immediate contact.<br>3.  **Inform Someone:** Share what's happening with a trusted family member or friend.<br>4.  **File a Police Complaint:** Approach your local police station or the Cyber Crime Cell (many cities have dedicated cybercrime units). You can file a First Information Report (FIR). You can also often file a complaint online through the National Cyber Crime Reporting Portal (cybercrime.gov.in).<br><br>### Relevant Legal Provisions under Indian Law:<br><br>When you file a complaint, the police may register a case under one or more of the following sections:<br><br>1.  **Indian Penal Code (IPC), 1860:**<br>    *   **Section 503 (Criminal Intimidation):** This section defines criminal intimidation as threatening a person with injury to their person, reputation, or property, or to the person or reputation of anyone in whom they are interested, to cause alarm, or to compel them to do something they are not legally bound to do, or to omit something they are legally entitled to do.<br>    *   **Section 506 (Punishment for Criminal Intimidation):** This section prescribes imprisonment (up to two years, or fine, or both) for criminal intimidation. If the threat is to cause death, grievous hurt, or to destroy property, or to impute unchastity to a woman, the punishment can be more severe (up to seven years, or fine, or both).<br>    *   **Section 507 (Criminal Intimidation by Anonymous Communication):** If the threats are sent anonymously or by concealing the sender's identity, this section might apply, leading to an additional punishment.<br>    *   **Section 383 (Extortion) & Section 384 (Punishment for Extortion):** If the threats are aimed at compelling you to deliver any property or valuable security, or to do anything which may be converted into a valuable security, then it would constitute extortion. The punishment for extortion is imprisonment up to three years, or fine, or both.<br><br>2.  **Information Technology Act, 2000 (IT Act):**<br>    *   While the primary sections for ""threats"" are in the IPC, the IT Act may also be relevant, especially if the threats involve other cyber offenses like harassment, identity theft, or publishing defamatory content online.<br><br>It's crucial to provide all the evidence you have (screenshots, numbers, dates) to the police to help them investigate and take appropriate action.<br><br>### Important Advice:<br><br>It is highly recommended that you **consult a qualified advocate** for your specific situation. An advocate can guide you through the process of filing a police complaint, ensure all necessary legal provisions are invoked, and represent your interests effectively. They can also advise you on any further steps or remedies available to you.",
Q6,Property,Builder took money but did not give possession. What legal case can I file?,200,1,8776.74,1,1,1.0,"Oh dear, that sounds like a very frustrating and difficult situation. It's truly distressing when a builder fails to deliver on their promise after taking your hard-earned money.<br><br>In India, you have several legal avenues you can explore:<br><br>1.  **Consumer Complaint (Consumer Protection Act, 2019):**<br>    *   **What it is:** This is often the most common and effective route for homebuyers. Not delivering possession on time or not delivering at all counts as ""deficiency in service"" and/or ""unfair trade practice"" by the builder.<br>    *   **Where to file:** You can file a complaint before the District Consumer Disputes Redressal Commission, State Consumer Disputes Redressal Commission, or the National Consumer Disputes Redressal Commission, depending on the value of your property and compensation sought.<br>    *   **Relief:** You can seek possession of your property, a refund of your money with interest, and compensation for mental agony, litigation costs, and any other losses suffered.<br><br>2.  **RERA Complaint (Real Estate (Regulation and Development) Act, 2016):**<br>    *   **What it is:** If your real estate project falls under the purview of RERA (most new projects do), this is a dedicated regulatory body specifically for real estate matters.<br>    *   **Where to file:** You can file a complaint with the Real Estate Regulatory Authority (RERA Authority) or the Adjudicating Officer in your state.<br>    *   **Relief:** RERA can direct the builder to hand over possession, pay a refund with interest, and/or pay compensation for the delay. The process under RERA is often designed to be faster than traditional courts.<br><br>3.  **Civil Suit (Code of Civil Procedure, 1908 & Specific Relief Act, 1963):**<br>    *   **What it is:** You can file a civil suit in a Civil Court for ""specific performance"" of the contract (asking the court to compel the builder to give possession) or for ""damages"" (compensation) if possession is no longer feasible.<br>    *   **Where to file:** This would be filed in the appropriate Civil Court based on the value of the property and the jurisdiction.<br>    *   **Relief:** The court can order the builder to complete construction and hand over possession, or to refund your money along with significant damages. This route can be more time-consuming.<br><br>4.  **Criminal Complaint (Indian Penal Code, 1860):**<br>    *   **What it is:** If you believe the builder had a deliberate intention to cheat you from the very beginning (i.e., they took your money knowing they would never deliver the property), you could potentially file a criminal complaint.<br>    *   **Where to file:** You can file a First Information Report (FIR) with the police under relevant sections like Section 420 (Cheating) or Section 406 (Criminal Breach of Trust) of the IPC.<br>    *   **Relief:** The goal here is punishment for the builder if fraud is proven, rather than direct recovery of your money, though it can sometimes pressure the builder to settle.<br><br>It's highly advisable to **consult a qualified advocate** who specializes in real estate or consumer law. They can review your specific agreement, gather all relevant documents, and guide you on the best course of action based on your situation and the specifics of your case. They will help you understand the pros and cons of each option and represent you effectively.",
Q7,Family,What can a woman do legally in a domestic violence case?,200,1,8240.42,1,1,1.0,"If a woman is facing domestic violence, Indian law provides several important ways for her to seek help and protection.<br><br>The main law addressing this issue is the **Protection of Women from Domestic Violence Act, 2005 (PWDVA)**.<br><br>Here's what she can do legally:<br><br>1.  **Seek Immediate Help:**<br>    *   **Contact Police:** She can call the emergency helpline (112) or visit the nearest police station to report the violence. The police can provide immediate assistance, ensure her safety, and register a First Information Report (FIR) if a criminal offense (like assault or cruelty) has occurred.<br>    *   **Approach a Protection Officer/NGO:** She can contact a Protection Officer (appointed under PWDVA) or a registered service provider (often an NGO). They can help her prepare a **Domestic Incident Report (DIR)**, which is crucial for further legal action under the PWDVA.<br><br>2.  **File an Application under PWDVA:**<br>    *   Based on the DIR, or directly, she can file an application before a Judicial Magistrate First Class or Metropolitan Magistrate. Through this application, she can seek various orders:<br>        *   **Protection Order:** To prevent the abuser from committing further acts of violence, contacting her, or visiting her workplace or children's school.<br>        *   **Residence Order:** To secure her right to live in the shared household or a suitable alternative accommodation. The court can also prevent the abuser from dispossessing her.<br>        *   **Monetary Relief:** For expenses incurred due to the violence, loss of earnings, and maintenance for herself and her children.<br>        *   **Custody Order:** For temporary custody of her children.<br>        *   **Compensation Order:** For injuries (including emotional distress) caused by domestic violence.<br><br>3.  **File a Criminal Complaint (FIR):**<br>    *   She can file a criminal complaint with the police under the **Indian Penal Code (IPC)**. For example:<br>        *   **Section 498A IPC:** Deals with cruelty by a husband or his relatives.<br>        *   Other sections like those for assault, hurt (e.g., Sections 323, 324, 325, 326 IPC), criminal intimidation (Section 506 IPC), etc., may also apply depending on the nature of violence.<br><br>4.  **Claim Maintenance:**<br>    *   She can claim maintenance for herself and her children under **Section 125 of the Code of Criminal Procedure, 1973 (CrPC)**, or under other specific personal laws like the Hindu Marriage Act, 1955.<br><br>These legal steps are designed to provide both protection and support to women facing domestic violence. Many NGOs and legal aid services also offer free assistance.<br><br>It is very important to consult a qualified advocate. They can guide her through the specific legal process, explain her rights in detail, and help her choose the best course of action for her unique situation.",
Q8,Employment,My employer has not paid salary for 3 months. What legal remedy is available?,200,1,7139.57,1,1,1.0,"Namaste! It sounds incredibly stressful and unfair to not receive your salary for three months. You have legal options available to you in India to recover your dues.<br><br>Here are the main legal remedies:<br><br>1.  **Approach the Labour Commissioner:** This is often the first and most effective step. You can file a complaint with the Labour Commissioner's office in your region. They will try to resolve the dispute through conciliation.<br>    *   **Relevant Act:** If your wages are below a certain limit, you can also file a claim under the **Payment of Wages Act, 1936**, which allows for speedy recovery of unpaid wages.<br><br>2.  **File a Civil Suit for Recovery of Money:** You can file a civil suit in a Civil Court to recover your unpaid salary, along with interest.<br>    *   **Relevant Act:** This process is governed by the **Code of Civil Procedure (CPC), 1908**.<br><br>3.  **Under the Industrial Disputes Act, 1947 (if applicable):** If you qualify as a ""workman"" under this Act (which depends on your role and salary), you can raise an industrial dispute with the appropriate government authority. This can lead to conciliation, arbitration, or adjudication by a Labour Court.<br><br>4.  **Under the Insolvency and Bankruptcy Code, 2016 (IBC):** If your employer is a company or Limited Liability Partnership (LLP) and is in severe financial distress, you, as an employee (an 'operational creditor'), can initiate corporate insolvency resolution proceedings against them for unpaid dues. This is a more drastic step.<br><br>**Important Advice:**<br>It is crucial to have all relevant documents ready, such as your employment contract, offer letter, salary slips, bank statements, attendance records, and any communication regarding non-payment.<br><br>Given the complexities, I strongly advise you to **consult a qualified advocate** as soon as possible. They can assess your specific situation, guide you on the best course of action, and help you navigate the legal process effectively.",
Q9,Defamation,Can I file a case for false allegations on social media?,200,1,5634.93,1,1,0.8,"Yes, you can absolutely pursue legal action for false allegations made against you on social media in India. Such actions can significantly harm your reputation and well-being.<br><br>Here are the main legal avenues you can explore:<br><br>1.  **Defamation (Civil)**:<br>    *   **What it is**: When someone makes a false statement about you that harms your reputation, causing you to suffer damages (like financial loss or mental anguish).<br>    *   **Remedy**: You can file a civil suit for damages (monetary compensation) from the person who made the false allegations. This comes under the Law of Torts.<br><br>2.  **Defamation (Criminal)**:<br>    *   **What it is**: If the false allegations were made with the intent to harm your reputation, or knowing that they would harm it.<br>    *   **Relevant Law**: Sections 499 and 500 of the **Indian Penal Code (IPC)** deal with criminal defamation.<br>    *   **Remedy**: You can file a criminal complaint. If proven, the person can face imprisonment up to two years, a fine, or both.<br><br>**Steps you might consider:**<br><br>*   **Gather Evidence**: Collect screenshots, URLs, dates, and times of the false allegations.<br>*   **Send a Legal Notice**: Your advocate can send a legal notice to the person demanding they retract the false statements and apologize.<br>*   **File a Case**: Depending on the specific circumstances and the advice of your advocate, you can then proceed to file a civil suit or a criminal complaint.<br><br>It's very important to consult a qualified advocate to discuss the specifics of your situation. They can help you understand the best course of action, draft legal notices, and represent you in court.",
Q10,Police Procedure,Explain FIR filing process and what evidence should I carry.,200,1,11287.31,1,1,0.667,"Hello there! I'm NyaySetu, happy to help you understand the FIR filing process in India.<br><br>An FIR (First Information Report) is a very important document that sets the criminal law process in motion. It's filed with the police when information about a ""cognizable offense"" is received. Cognizable offenses are serious crimes where the police can arrest someone without a warrant, like theft, assault, or murder.<br><br>### FIR Filing Process:<br><br>1.  **Where to File:** You should generally file the FIR at the police station that has jurisdiction over the area where the crime occurred. However, you can also file a ""Zero FIR"" at any police station, which will then be transferred to the correct police station for investigation.<br>2.  **Who Can File:** The victim of the crime, an eyewitness, or anyone who has knowledge of the crime can file an FIR.<br>3.  **How to Give Information:**<br>    *   You can provide the information orally or in writing to a police officer.<br>    *   If you give it orally, the police officer must write it down accurately.<br>    *   The information must be read back to you, and you must sign it after verifying its correctness.<br>4.  **Key Details to Provide:**<br>    *   Your full name and contact details.<br>    *   The date, time, and exact place where the incident happened.<br>    *   A clear and concise description of the incident.<br>    *   Names and descriptions of the accused, if you know them.<br>    *   Details of any witnesses.<br>5.  **Your Rights (under Section 154 of the Code of Criminal Procedure, 1973 - CrPC):**<br>    *   You have a right to get a free copy of the FIR immediately after it is registered (Section 154(2) CrPC).<br>    *   The police cannot refuse to register an FIR relating to a cognizable offense.<br>6.  **If Police Refuse to File FIR:**<br>    *   You can complain in writing to a senior police officer, such as the Superintendent of Police (SP) or Commissioner of Police (Section 154(3) CrPC).<br>    *   You can also approach a Magistrate, who can direct the police to register the FIR and investigate the case (Section 156(3) CrPC).<br><br>### What Evidence Should You Carry?<br><br>While you don't *need* evidence to file an FIR (the police are duty-bound to register it if a cognizable offense is reported), carrying any available information or items can greatly assist the police in their investigation:<br><br>1.  **Your Identity Proof:** Carry a valid government-issued ID like your Aadhaar card, PAN card, or Voter ID.<br>2.  **Documents Related to the Incident:**<br>    *   **Medical Reports/Certificates:** If you or someone else sustained injuries.<br>    *   **Photographs or Videos:** Of the crime scene, injuries, damaged property, or any relevant details.<br>    *   **Digital Evidence:** Screenshots of messages, call records, emails, or social media posts if relevant to the crime.<br>    *   **Property Documents:** If it's a case of theft or damage to property (e.g., vehicle registration, property deeds).<br>    *   **Any Other Relevant Papers:** Receipts, bills, bank statements, etc.<br>3.  **Witness Information:** Names, addresses, and contact numbers of anyone who witnessed the incident.<br><br>Providing clear and accurate details will help the police understand the situation better and take appropriate action.<br><br>I hope this information is helpful to you! Please remember to consult a qualified advocate for personalized advice regarding your specific situation. They can guide you through the legal process effectively.",
